X,Y,OBJECTID,cdsCode,schoolID,district,name,addr,city,zip,openDate,charter,docType,socType,gsOffered,shrtName,priv
-117.079738139465,33.1185216242432,377,37680986038178,387,Escondido Union,Central Elementary,122 West Fourth Avenue,Escondido,92025,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-5,Central Escondido,N
-117.305501341033,33.1106178805317,378,37735516116578,388,Carlsbad Unified,Pacific Rim Elementary,1100 Camino de las Ondas,Carlsbad,92009,1999/09/07 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Pacific Rim,N
-117.277671149137,33.1033807261314,379,37735516109201,389,Carlsbad Unified,Aviara Oaks Elementary,6900 Ambrosia Lane,Carlsbad,92009,1990/09/07 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Aviara Oaks,N
-117.27776844244,33.1040368401338,380,37735516118137,390,Carlsbad Unified,Aviara Oaks Middle,6880 Ambrosia Lane,Carlsbad,92009,1998/09/01 00:00:00+00,N,Unified School District,Intermediate/Middle Schools (Public),6-8,Aviara Oaks Mid,N
-117.083906880959,33.1054056840072,381,37680986038202,391,Escondido Union,Felicita Elementary,737 West 13th Avenue,Escondido,92027,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-5,Felicita,N
-117.068235762279,33.1052482250888,382,37680986038228,392,Escondido Union,Juniper Elementary,1809 South Juniper Street,Escondido,92025,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-5,Juniper,N
-117.241155660011,33.1033743691954,383,37737916105993,393,San Marcos Unified,La Costa Meadows Elementary,6889 El Fuerte Street,Carlsbad,92009,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,La Costa Meadows,N
-117.079833673476,33.0969488590583,384,37680986066997,394,Escondido Union,Miller Elementary,1975 Miller Avenue,Escondido,92025,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-5,Miller,N
-116.645407114688,33.0966156485098,385,37684036040554,395,Spencer Valley Elementary,Spencer Valley Elementary,4414 Highway 78 and 79,Santa Ysabel,92070,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-8,Spencer Valley,N
-117.011628006259,33.1110707274746,386,37683536040331,396,San Pasqual Union Elementary,San Pasqual Union Elementary,15305 Rockwood Road,Escondido,92027,1980/07/01 00:00:00+00,N,Elementary School District,Elemen Schools In 1 School Dist. (Public),K-8,San Pasqual Elem,N
-117.059321085576,33.0853798137212,387,37680986107882,397,Escondido Union,L. R. Green Elementary,3115 Las Palmas Avenue,Escondido,92025,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-5,L.R. Green,N
-117.007167488376,32.7300041531652,388,37681976038418,398,La Mesa-Spring Valley,Bancroft Elementary,8805 Tyler Street,Spring Valley,91977,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Bancroft,N
